L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
512,17280.0,36,2952,17326.6,240,46.6,0,2160.0,0
512,17760.0,37,2967,17827.44,240,67.44,0,2640.0,0
512,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
512,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
512,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
512,15360.0,32,2907,15399.61,360,39.61,0,120.0,0
512,15840.0,33,2918,15879.63,360,39.63,0,600.0,0
512,16320.0,34,2930,16366.57,360,46.57,0,1080.0,0
512,16800.0,35,2940,16832.71,360,32.71,0,1560.0,0
512,17280.0,36,2952,17326.6,360,46.6,0,2040.0,0
512,17760.0,37,2967,17827.44,360,67.44,0,2520.0,0
512,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
512,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
512,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
512,15360.0,32,2907,15432.14,470,72.14,0,10.0,0
512,15840.0,33,2918,15879.63,470,39.63,0,490.0,0
512,16320.0,34,2930,16366.57,470,46.57,0,970.0,0
512,16800.0,35,2940,16832.71,470,32.71,0,1450.0,0
512,17280.0,36,2952,17326.6,470,46.6,0,1930.0,0
512,17760.0,37,2967,17827.44,470,67.44,0,2410.0,0
1024,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
1024,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
1024,14880.0,31,3408,14975.18,5,95.18,0,-5.0,0
1024,15360.0,32,3419,15400.14,5,40.14,0,475.0,0
1024,15840.0,33,3430,15880.15,5,40.15,0,955.0,0
1024,16320.0,34,3442,16367.2,5,47.2,0,1435.0,0
1024,16800.0,35,3452,16833.14,5,33.14,0,1915.0,0
1024,17280.0,36,3464,17327.23,5,47.23,0,2395.0,0
1024,17760.0,37,3479,17828.36,5,68.36,0,2875.0,0
1024,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
1024,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
1024,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
1024,15360.0,32,3419,15400.14,120,40.14,0,360.0,0
1024,15840.0,33,3430,15880.15,120,40.15,0,840.0,0
